Maker,Maker_Group,Month,Registerations,State,Month_Num,Is_DEA,Annual_Total
3S INDUSTRIES PRIVATE LIMITED,Others,JAN,18,Bihar,1,0,262
3S INDUSTRIES PRIVATE LIMITED,Others,FEB,19,Bihar,2,0,262
3S INDUSTRIES PRIVATE LIMITED,Others,MAR,13,Bihar,3,0,262
3S INDUSTRIES PRIVATE LIMITED,Others,APR,26,Bihar,4,0,262
3S INDUSTRIES PRIVATE LIMITED,Others,MAY,24,Bihar,5,0,262
3S INDUSTRIES PRIVATE LIMITED,Others,JUN,22,Bihar,6,0,262
3S INDUSTRIES PRIVATE LIMITED,Others,JUL,21,Bihar,7,0,262
3S INDUSTRIES PRIVATE LIMITED,Others,AUG,25,Bihar,8,0,262
3S INDUSTRIES PRIVATE LIMITED,Others,SEP,17,Bihar,9,0,262
3S INDUSTRIES PRIVATE LIMITED,Others,OCT,14,Bihar,10,0,262
3S INDUSTRIES PRIVATE LIMITED,Others,NOV,33,Bihar,11,0,262
3S INDUSTRIES PRIVATE LIMITED,Others,DEC,30,Bihar,12,0,262
AADHYA ENTERPRISES,Others,JAN,4,Bihar,1,0,24
AADHYA ENTERPRISES,Others,FEB,2,Bihar,2,0,24
AADHYA ENTERPRISES,Others,MAR,4,Bihar,3,0,24
AADHYA ENTERPRISES,Others,APR,1,Bihar,4,0,24
AADHYA ENTERPRISES,Others,MAY,1,Bihar,5,0,24
AADHYA ENTERPRISES,Others,JUN,1,Bihar,6,0,24
AADHYA ENTERPRISES,Others,JUL,4,Bihar,7,0,24
AADHYA ENTERPRISES,Others,AUG,0,Bihar,8,0,24
AADHYA ENTERPRISES,Others,SEP,1,Bihar,9,0,24
AADHYA ENTERPRISES,Others,OCT,4,Bihar,10,0,24
AADHYA ENTERPRISES,Others,NOV,0,Bihar,11,0,24
AADHYA ENTERPRISES,Others,DEC,2,Bihar,12,0,24
AAHANA COMMERCE PVT LTD,Others,JAN,4,Bihar,1,0,101
AAHANA COMMERCE PVT LTD,Others,FEB,7,Bihar,2,0,101
AAHANA COMMERCE PVT LTD,Others,MAR,13,Bihar,3,0,101
AAHANA COMMERCE PVT LTD,Others,APR,11,Bihar,4,0,101
AAHANA COMMERCE PVT LTD,Others,MAY,9,Bihar,5,0,101
AAHANA COMMERCE PVT LTD,Others,JUN,11,Bihar,6,0,101
AAHANA COMMERCE PVT LTD,Others,JUL,9,Bihar,7,0,101
AAHANA COMMERCE PVT LTD,Others,AUG,7,Bihar,8,0,101
AAHANA COMMERCE PVT LTD,Others,SEP,3,Bihar,9,0,101
AAHANA COMMERCE PVT LTD,Others,OCT,7,Bihar,10,0,101
AAHANA COMMERCE PVT LTD,Others,NOV,7,Bihar,11,0,101
AAHANA COMMERCE PVT LTD,Others,DEC,13,Bihar,12,0,101
ADIDEV TECHNOA PVT LTD,Others,JAN,1,Bihar,1,0,172
ADIDEV TECHNOA PVT LTD,Others,FEB,7,Bihar,2,0,172
ADIDEV TECHNOA PVT LTD,Others,MAR,11,Bihar,3,0,172
ADIDEV TECHNOA PVT LTD,Others,APR,2,Bihar,4,0,172
ADIDEV TECHNOA PVT LTD,Others,MAY,12,Bihar,5,0,172
ADIDEV TECHNOA PVT LTD,Others,JUN,14,Bihar,6,0,172
ADIDEV TECHNOA PVT LTD,Others,JUL,15,Bihar,7,0,172
ADIDEV TECHNOA PVT LTD,Others,AUG,9,Bihar,8,0,172
ADIDEV TECHNOA PVT LTD,Others,SEP,2,Bihar,9,0,172
ADIDEV TECHNOA PVT LTD,Others,OCT,16,Bihar,10,0,172
ADIDEV TECHNOA PVT LTD,Others,NOV,28,Bihar,11,0,172
ADIDEV TECHNOA PVT LTD,Others,DEC,55,Bihar,12,0,172
ADITYA SAI INDUSTRIES,Others,JAN,0,Bihar,1,0,2
ADITYA SAI INDUSTRIES,Others,FEB,0,Bihar,2,0,2
ADITYA SAI INDUSTRIES,Others,MAR,0,Bihar,3,0,2
ADITYA SAI INDUSTRIES,Others,APR,0,Bihar,4,0,2
ADITYA SAI INDUSTRIES,Others,MAY,0,Bihar,5,0,2
ADITYA SAI INDUSTRIES,Others,JUN,0,Bihar,6,0,2
ADITYA SAI INDUSTRIES,Others,JUL,2,Bihar,7,0,2
ADITYA SAI INDUSTRIES,Others,AUG,0,Bihar,8,0,2
ADITYA SAI INDUSTRIES,Others,SEP,0,Bihar,9,0,2
ADITYA SAI INDUSTRIES,Others,OCT,0,Bihar,10,0,2
ADITYA SAI INDUSTRIES,Others,NOV,0,Bihar,11,0,2
ADITYA SAI INDUSTRIES,Others,DEC,0,Bihar,12,0,2
ADM TECHNOLOGIES PVT. LTD.,Others,JAN,0,Bihar,1,0,2
ADM TECHNOLOGIES PVT. LTD.,Others,FEB,0,Bihar,2,0,2
ADM TECHNOLOGIES PVT. LTD.,Others,MAR,1,Bihar,3,0,2
ADM TECHNOLOGIES PVT. LTD.,Others,APR,0,Bihar,4,0,2
ADM TECHNOLOGIES PVT. LTD.,Others,MAY,0,Bihar,5,0,2
ADM TECHNOLOGIES PVT. LTD.,Others,JUN,0,Bihar,6,0,2
ADM TECHNOLOGIES PVT. LTD.,Others,JUL,0,Bihar,7,0,2
ADM TECHNOLOGIES PVT. LTD.,Others,AUG,1,Bihar,8,0,2
ADM TECHNOLOGIES PVT. LTD.,Others,SEP,0,Bihar,9,0,2
ADM TECHNOLOGIES PVT. LTD.,Others,OCT,0,Bihar,10,0,2
ADM TECHNOLOGIES PVT. LTD.,Others,NOV,0,Bihar,11,0,2
ADM TECHNOLOGIES PVT. LTD.,Others,DEC,0,Bihar,12,0,2
AERODRIVE PVT LTD,Others,JAN,9,Bihar,1,0,167
AERODRIVE PVT LTD,Others,FEB,8,Bihar,2,0,167
AERODRIVE PVT LTD,Others,MAR,15,Bihar,3,0,167
AERODRIVE PVT LTD,Others,APR,9,Bihar,4,0,167
AERODRIVE PVT LTD,Others,MAY,9,Bihar,5,0,167
AERODRIVE PVT LTD,Others,JUN,12,Bihar,6,0,167
AERODRIVE PVT LTD,Others,JUL,7,Bihar,7,0,167
AERODRIVE PVT LTD,Others,AUG,10,Bihar,8,0,167
AERODRIVE PVT LTD,Others,SEP,10,Bihar,9,0,167
AERODRIVE PVT LTD,Others,OCT,15,Bihar,10,0,167
AERODRIVE PVT LTD,Others,NOV,32,Bihar,11,0,167
AERODRIVE PVT LTD,Others,DEC,31,Bihar,12,0,167
AFKON AUTOMOTIVES PVT LTD,Others,JAN,2,Bihar,1,0,63
AFKON AUTOMOTIVES PVT LTD,Others,FEB,7,Bihar,2,0,63
AFKON AUTOMOTIVES PVT LTD,Others,MAR,5,Bihar,3,0,63
AFKON AUTOMOTIVES PVT LTD,Others,APR,4,Bihar,4,0,63
AFKON AUTOMOTIVES PVT LTD,Others,MAY,7,Bihar,5,0,63
AFKON AUTOMOTIVES PVT LTD,Others,JUN,4,Bihar,6,0,63
AFKON AUTOMOTIVES PVT LTD,Others,JUL,2,Bihar,7,0,63
AFKON AUTOMOTIVES PVT LTD,Others,AUG,3,Bihar,8,0,63
AFKON AUTOMOTIVES PVT LTD,Others,SEP,5,Bihar,9,0,63
AFKON AUTOMOTIVES PVT LTD,Others,OCT,9,Bihar,10,0,63
AFKON AUTOMOTIVES PVT LTD,Others,NOV,7,Bihar,11,0,63
AFKON AUTOMOTIVES PVT LTD,Others,DEC,8,Bihar,12,0,63
AGI AUTO INDUSTRIES,Others,JAN,0,Bihar,1,0,12
AGI AUTO INDUSTRIES,Others,FEB,0,Bihar,2,0,12
AGI AUTO INDUSTRIES,Others,MAR,0,Bihar,3,0,12
AGI AUTO INDUSTRIES,Others,APR,0,Bihar,4,0,12
AGI AUTO INDUSTRIES,Others,MAY,0,Bihar,5,0,12
AGI AUTO INDUSTRIES,Others,JUN,0,Bihar,6,0,12
AGI AUTO INDUSTRIES,Others,JUL,0,Bihar,7,0,12
AGI AUTO INDUSTRIES,Others,AUG,0,Bihar,8,0,12
AGI AUTO INDUSTRIES,Others,SEP,0,Bihar,9,0,12
AGI AUTO INDUSTRIES,Others,OCT,0,Bihar,10,0,12
AGI AUTO INDUSTRIES,Others,NOV,0,Bihar,11,0,12
AGI AUTO INDUSTRIES,Others,DEC,12,Bihar,12,0,12
A.J ENTERPRISES,Others,JAN,16,Bihar,1,0,167
A.J ENTERPRISES,Others,FEB,14,Bihar,2,0,167
A.J ENTERPRISES,Others,MAR,19,Bihar,3,0,167
A.J ENTERPRISES,Others,APR,13,Bihar,4,0,167
A.J ENTERPRISES,Others,MAY,20,Bihar,5,0,167
A.J ENTERPRISES,Others,JUN,16,Bihar,6,0,167
A.J ENTERPRISES,Others,JUL,12,Bihar,7,0,167
A.J ENTERPRISES,Others,AUG,13,Bihar,8,0,167
A.J ENTERPRISES,Others,SEP,7,Bihar,9,0,167
A.J ENTERPRISES,Others,OCT,15,Bihar,10,0,167
A.J ENTERPRISES,Others,NOV,13,Bihar,11,0,167
A.J ENTERPRISES,Others,DEC,9,Bihar,12,0,167
AKG INTERNATIONAL,Others,JAN,6,Bihar,1,0,67
AKG INTERNATIONAL,Others,FEB,1,Bihar,2,0,67
AKG INTERNATIONAL,Others,MAR,4,Bihar,3,0,67
AKG INTERNATIONAL,Others,APR,4,Bihar,4,0,67
AKG INTERNATIONAL,Others,MAY,4,Bihar,5,0,67
AKG INTERNATIONAL,Others,JUN,5,Bihar,6,0,67
AKG INTERNATIONAL,Others,JUL,5,Bihar,7,0,67
AKG INTERNATIONAL,Others,AUG,11,Bihar,8,0,67
AKG INTERNATIONAL,Others,SEP,2,Bihar,9,0,67
AKG INTERNATIONAL,Others,OCT,2,Bihar,10,0,67
