Maker,Maker_Group,Month,Registerations,State 
3S INDUSTRIES PRIVATE LIMITED,Others,JAN,18,Bihar
3S INDUSTRIES PRIVATE LIMITED,Others,FEB,19,Bihar
3S INDUSTRIES PRIVATE LIMITED,Others,MAR,13,Bihar
3S INDUSTRIES PRIVATE LIMITED,Others,APR,26,Bihar
3S INDUSTRIES PRIVATE LIMITED,Others,MAY,24,Bihar
3S INDUSTRIES PRIVATE LIMITED,Others,JUN,22,Bihar
3S INDUSTRIES PRIVATE LIMITED,Others,JUL,21,Bihar
3S INDUSTRIES PRIVATE LIMITED,Others,AUG,25,Bihar
3S INDUSTRIES PRIVATE LIMITED,Others,SEP,17,Bihar
3S INDUSTRIES PRIVATE LIMITED,Others,OCT,14,Bihar
3S INDUSTRIES PRIVATE LIMITED,Others,NOV,33,Bihar
3S INDUSTRIES PRIVATE LIMITED,Others,DEC,30,Bihar
AADHYA ENTERPRISES,Others,JAN,4,Bihar
AADHYA ENTERPRISES,Others,FEB,2,Bihar
AADHYA ENTERPRISES,Others,MAR,4,Bihar
AADHYA ENTERPRISES,Others,APR,1,Bihar
AADHYA ENTERPRISES,Others,MAY,1,Bihar
AADHYA ENTERPRISES,Others,JUN,1,Bihar
AADHYA ENTERPRISES,Others,JUL,4,Bihar
AADHYA ENTERPRISES,Others,AUG,0,Bihar
AADHYA ENTERPRISES,Others,SEP,1,Bihar
AADHYA ENTERPRISES,Others,OCT,4,Bihar
AADHYA ENTERPRISES,Others,NOV,0,Bihar
AADHYA ENTERPRISES,Others,DEC,2,Bihar
AAHANA COMMERCE PVT LTD,Others,JAN,4,Bihar
AAHANA COMMERCE PVT LTD,Others,FEB,7,Bihar
AAHANA COMMERCE PVT LTD,Others,MAR,13,Bihar
AAHANA COMMERCE PVT LTD,Others,APR,11,Bihar
AAHANA COMMERCE PVT LTD,Others,MAY,9,Bihar
AAHANA COMMERCE PVT LTD,Others,JUN,11,Bihar
AAHANA COMMERCE PVT LTD,Others,JUL,9,Bihar
AAHANA COMMERCE PVT LTD,Others,AUG,7,Bihar
AAHANA COMMERCE PVT LTD,Others,SEP,3,Bihar
AAHANA COMMERCE PVT LTD,Others,OCT,7,Bihar
AAHANA COMMERCE PVT LTD,Others,NOV,7,Bihar
AAHANA COMMERCE PVT LTD,Others,DEC,13,Bihar
ADIDEV TECHNOA PVT LTD,Others,JAN,1,Bihar
ADIDEV TECHNOA PVT LTD,Others,FEB,7,Bihar
ADIDEV TECHNOA PVT LTD,Others,MAR,11,Bihar
ADIDEV TECHNOA PVT LTD,Others,APR,2,Bihar
ADIDEV TECHNOA PVT LTD,Others,MAY,12,Bihar
ADIDEV TECHNOA PVT LTD,Others,JUN,14,Bihar
ADIDEV TECHNOA PVT LTD,Others,JUL,15,Bihar
ADIDEV TECHNOA PVT LTD,Others,AUG,9,Bihar
ADIDEV TECHNOA PVT LTD,Others,SEP,2,Bihar
ADIDEV TECHNOA PVT LTD,Others,OCT,16,Bihar
ADIDEV TECHNOA PVT LTD,Others,NOV,28,Bihar
ADIDEV TECHNOA PVT LTD,Others,DEC,55,Bihar
ADITYA SAI INDUSTRIES,Others,JAN,0,Bihar
ADITYA SAI INDUSTRIES,Others,FEB,0,Bihar
ADITYA SAI INDUSTRIES,Others,MAR,0,Bihar
ADITYA SAI INDUSTRIES,Others,APR,0,Bihar
ADITYA SAI INDUSTRIES,Others,MAY,0,Bihar
ADITYA SAI INDUSTRIES,Others,JUN,0,Bihar
